day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,3,3,0
369,0,0,1,5,7,0
376,0,0,1,5,9,0
383,0,0,0,2,4,0
390,0,0,0,0,1,0
397,0,0,0,0,0,0
404,0,0,1,3,6,1
411,0,0,1,5,10,2
418,0,0,3,11,18,16
425,0,0,1,5,16,38
432,0,0,2,14,60,19
439,0,0,2,15,18,79
446,0,0,1,3,5,36
453,0,0,0,1,3,47
460,0,0,1,2,8,194
467,0,0,0,2,44,115
474,0,0,0,2,37,78
481,0,0,0,1,58,51
488,0,0,0,1,42,33
495,0,0,0,0,8,8
502,0,0,0,2,72,64
509,0,0,1,3,58,31
516,0,0,7,39,219,13
523,0,0,20,56,210,10
530,0,0,16,46,233,8
537,0,0,7,22,100,3
544,0,0,7,31,192,3
551,0,0,7,234,71,3
558,0,0,46,209,36,3
565,0,0,131,163,34,4
572,0,0,91,89,20,2
579,0,15,43,71,38,6
586,0,19,7,15,10,2
593,0,2,51,51,13,3
600,0,0,49,47,14,3
607,0,4,32,33,10,2
614,0,1,9,11,5,1
621,0,1,3,4,2,0
628,0,1,3,3,1,0
635,0,3,8,10,5,1
642,0,30,2,3,1,0
649,0,136,3,5,2,0
656,0,196,2,2,1,0
663,0,8,1,1,1,0
383,1,0,1,2,3,0
390,1,0,1,3,5,0
397,1,0,1,5,7,0
404,1,0,1,3,7,0
411,1,0,0,1,1,1
418,1,0,0,0,1,0
425,1,0,0,2,3,1
432,1,0,1,3,7,2
439,1,0,2,8,15,2
446,1,0,1,3,3,0
453,1,0,0,0,0,0
460,1,0,0,1,1,0
467,1,0,0,0,0,0
474,1,0,0,0,0,0
481,1,0,0,1,1,0
488,1,0,2,21,70,48
495,1,0,1,6,42,109
502,1,0,1,3,7,19
509,1,0,1,2,5,13
516,1,0,1,6,14,89
523,1,0,0,1,4,29
530,1,0,0,2,4,49
537,1,0,0,1,4,9
544,1,0,0,1,41,77
551,1,0,0,1,7,48
558,1,0,0,1,11,16
565,1,0,0,1,4,58
572,1,0,9,51,298,12
579,1,0,19,114,134,9
586,1,0,21,85,128,118
593,1,0,18,27,56,22
600,1,0,53,86,120,11
607,1,13,117,124,171,70
614,1,4,24,55,174,14
621,1,2,18,57,129,9
628,1,0,29,47,43,5
635,1,8,18,167,44,3
642,1,0,25,57,22,3
649,1,0,9,13,7,1
656,1,2,31,31,6,1
663,1,0,15,13,4,1
