day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,1,1,0
369,0,0,9,36,46,0
376,0,0,21,85,112,0
383,0,0,4,16,21,1
390,0,0,0,2,3,1
397,0,0,0,3,3,1
404,0,0,2,10,16,6
411,0,0,6,34,49,15
418,0,0,16,60,95,151
425,0,0,2,16,29,61
432,0,0,10,107,312,354
439,0,0,7,33,67,358
446,0,0,4,8,15,167
453,0,0,1,5,10,138
460,0,0,1,5,179,1078
467,0,0,2,15,54,240
474,0,0,2,11,132,267
481,0,0,2,4,127,117
488,0,0,2,7,208,145
495,0,0,1,1,23,23
502,0,0,1,3,462,378
509,0,0,1,2,144,100
516,0,0,29,108,1062,85
523,0,0,88,294,846,28
530,0,0,75,276,1267,26
537,0,0,40,148,769,14
544,0,0,23,367,665,8
551,0,0,77,907,241,6
558,0,0,485,1235,108,8
565,0,0,791,772,92,10
572,0,0,416,410,78,9
579,0,19,158,158,51,6
586,0,43,64,30,16,8
593,0,7,68,90,41,7
600,0,2,57,85,48,10
607,0,5,60,73,38,3
614,0,3,20,22,11,2
621,0,4,15,17,9,2
628,0,5,30,40,28,8
635,0,1,32,45,10,2
642,0,4,11,13,6,1
649,0,732,57,20,12,3
656,0,912,238,9,7,3
663,0,935,370,14,2,2
670,0,605,44,11,6,2
677,0,203,45,12,7,1
684,0,83,22,7,1,1
691,0,25,5,2,1,0
383,1,0,1,1,1,0
390,1,0,7,29,41,0
397,1,0,22,83,107,0
404,1,0,4,22,27,1
411,1,0,1,2,6,2
418,1,0,0,2,2,1
425,1,0,2,10,16,6
432,1,0,2,21,36,9
439,1,0,8,36,47,13
446,1,0,3,11,19,28
453,1,0,1,5,7,90
460,1,0,1,3,1,5
467,1,0,1,1,2,0
474,1,0,1,4,3,1
481,1,0,1,2,1,0
488,1,0,1,1,6,2
495,1,0,12,139,502,693
502,1,0,2,8,59,286
509,1,0,4,19,37,109
516,1,0,5,21,63,271
523,1,0,1,7,21,91
530,1,0,2,2,18,390
537,1,0,1,1,5,31
544,1,0,1,2,170,304
551,1,0,1,3,35,289
558,1,0,1,1,8,20
565,1,0,1,3,39,157
572,1,0,21,125,978,34
579,1,0,86,260,556,22
586,1,1,251,471,394,266
593,1,1,28,56,77,38
600,1,0,425,479,650,35
607,1,16,304,298,745,365
614,1,10,294,749,1408,75
621,1,22,151,546,727,59
628,1,14,147,421,188,16
635,1,2,200,752,98,9
642,1,3,214,323,91,11
649,1,1,41,56,15,2
656,1,6,68,103,54,9
663,1,4,25,33,15,4
670,1,3,36,54,26,5
677,1,612,35,23,10,2
684,1,620,87,17,5,1
691,1,311,202,4,2,1
663,2,0,0,0,1,1
670,2,0,0,0,91,693
677,2,0,5,12,32,88
684,2,0,5,26,68,158
691,2,1,2,13,48,17
