day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,0,1,0
369,0,0,8,33,43,0
376,0,0,20,78,104,0
383,0,0,4,14,19,1
390,0,0,0,1,3,1
397,0,0,0,2,3,1
404,0,0,1,9,14,5
411,0,0,5,31,46,13
418,0,0,15,56,87,140
425,0,0,2,14,26,57
432,0,0,10,98,289,328
439,0,0,7,31,62,331
446,0,0,4,7,14,155
453,0,0,1,4,9,127
460,0,0,0,4,165,997
467,0,0,1,14,49,221
474,0,0,1,10,123,247
481,0,0,1,4,118,108
488,0,0,1,6,192,135
495,0,0,0,0,21,22
502,0,0,0,3,427,350
509,0,0,0,1,133,93
516,0,0,26,99,982,78
523,0,0,81,272,783,25
530,0,0,70,255,1172,24
537,0,0,37,136,711,13
544,0,0,21,339,615,7
551,0,0,71,838,223,6
558,0,0,448,1141,99,8
565,0,0,731,713,86,10
572,0,0,384,379,73,8
579,0,18,147,147,48,6
586,0,39,60,27,15,7
593,0,6,62,83,38,7
600,0,2,52,78,44,9
607,0,5,56,68,35,2
614,0,2,18,20,11,1
621,0,4,13,15,8,2
628,0,4,28,37,25,8
635,0,1,29,42,10,2
642,0,3,10,12,6,1
649,0,676,52,19,12,2
656,0,844,220,8,6,2
663,0,865,343,12,2,1
670,0,559,40,10,5,2
677,0,187,42,12,6,1
684,0,76,21,7,1,0
691,0,24,4,1,0,0
383,1,0,0,0,0,0
390,1,0,7,27,38,0
397,1,0,21,77,98,0
404,1,0,3,20,25,0
411,1,0,1,2,6,2
418,1,0,0,1,1,0
425,1,0,1,9,14,6
432,1,0,2,20,34,8
439,1,0,8,33,44,12
446,1,0,2,10,18,26
453,1,0,0,4,6,83
460,1,0,1,2,0,5
467,1,0,0,1,1,0
474,1,0,1,3,3,1
481,1,0,0,2,0,0
488,1,0,1,1,6,1
495,1,0,12,128,464,640
502,1,0,2,8,54,264
509,1,0,4,17,34,100
516,1,0,4,20,59,250
523,1,0,1,7,20,84
530,1,0,2,2,16,361
537,1,0,0,1,5,28
544,1,0,0,1,158,281
551,1,0,1,2,33,268
558,1,0,0,1,7,19
565,1,0,0,3,36,145
572,1,0,20,115,904,32
579,1,0,79,241,514,20
586,1,0,233,436,365,245
593,1,0,25,51,71,36
600,1,0,392,442,601,33
607,1,15,281,276,688,338
614,1,9,272,693,1302,70
621,1,20,140,504,673,54
628,1,13,135,389,173,15
635,1,2,185,696,91,8
642,1,2,198,298,85,11
649,1,1,37,52,14,2
656,1,6,62,95,49,9
663,1,3,24,30,13,3
670,1,3,33,49,25,4
677,1,566,33,22,9,2
684,1,573,81,15,5,0
691,1,287,187,4,2,0
663,2,0,0,0,1,0
670,2,0,0,0,85,640
677,2,0,4,12,29,82
684,2,0,5,25,62,146
691,2,0,2,12,44,16
