day,dose,5-14,15-24,25-39,40-64,65+
362,0,0,1,0,1,0
369,0,0,8,33,43,0
376,0,0,20,78,104,0
383,0,0,4,14,19,1
390,0,0,0,1,3,1
397,0,0,0,2,3,1
404,0,0,1,9,14,5
411,0,0,5,31,46,13
418,0,0,15,56,87,140
425,0,0,2,14,26,56
432,0,0,10,98,289,327
439,0,0,7,31,62,331
446,0,0,4,7,14,154
453,0,0,1,4,9,127
460,0,0,0,4,166,997
467,0,0,1,14,49,221
474,0,0,1,10,123,247
481,0,0,1,4,118,109
488,0,0,1,6,192,134
495,0,0,0,0,21,22
502,0,0,0,2,427,349
509,0,0,0,2,133,93
516,0,0,26,99,982,79
523,0,0,81,272,780,25
530,0,0,70,255,1168,25
537,0,0,37,136,711,12
544,0,0,22,340,614,7
551,0,0,71,838,222,6
558,0,0,449,1141,99,8
565,0,0,731,713,85,10
572,0,0,384,379,73,8
579,0,35,128,146,48,6
586,0,57,20,28,15,7
593,0,8,56,84,37,7
600,0,2,51,78,44,9
607,0,9,50,68,36,2
614,0,4,16,20,10,2
621,0,4,10,15,9,1
628,0,8,24,37,25,8
635,0,1,28,42,10,2
642,0,6,7,12,6,1
649,0,711,16,18,12,2
656,0,1050,6,8,6,2
663,0,294,3,3,1,1
383,1,0,0,0,0,0
390,1,0,7,27,38,0
397,1,0,21,77,98,0
404,1,0,3,20,25,0
411,1,0,1,2,6,2
418,1,0,0,1,1,0
425,1,0,1,9,14,6
432,1,0,2,20,34,8
439,1,0,8,33,44,12
446,1,0,2,10,18,25
453,1,0,0,4,6,83
460,1,0,1,2,0,5
467,1,0,0,1,1,0
474,1,0,1,3,3,1
481,1,0,0,2,0,0
488,1,0,1,1,6,1
495,1,0,12,128,464,641
502,1,0,2,7,54,264
509,1,0,4,17,34,100
516,1,0,4,20,59,250
523,1,0,1,7,20,84
530,1,0,2,2,16,361
537,1,0,0,1,5,28
544,1,0,0,1,158,281
551,1,0,1,2,33,268
558,1,0,0,1,7,19
565,1,0,1,3,36,145
572,1,0,20,115,903,32
579,1,0,80,241,514,20
586,1,0,232,437,364,245
593,1,0,25,51,71,36
600,1,0,392,442,601,33
607,1,29,266,275,687,337
614,1,17,262,693,1302,70
621,1,26,120,504,672,54
628,1,22,122,387,172,15
635,1,3,184,696,91,8
642,1,5,195,298,85,11
649,1,1,37,51,14,2
656,1,9,57,95,49,9
663,1,0,6,12,4,0
